caseid,yyyymm,yyyyq,yyyy,id,idprev,datepr,ics,icc,ice,pago,pagor1,pagor2,pexp,inexq1,inexq2,inex,rinc,bago,bexp,bus12,bus5,news1,news2,unemp,govt,ratex,px1q1,px1q2,px1,px5q1,px5q2,px5,dur,durrn1,durrn2,hom,homrn1,homrn2,shom,shomrn1,shomrn2,car,carrn1,carrn2,income,incqfm,ytl10,ytl90,ytl50,ytl5,ytl4,ytl3,homeown,homeval,homeamt,homeqfm,invest,invamt,invqfm,age,birthm,birthy,region,sex,marry,numkid,numadt,race,educ,eclgrd,ehsgrd,egrade,vehown,vehnum,gaspx1,gaspx2,gas5,gas1px1,gas1px2,gas1,wt,FFR,INFLATION,UNRATE,CPI,SHILLER,MORTG,PAGO,PEXP,INEXQ1,INEX,RINC,BAGO,BEXP,BUS12,BUS5,UNEMP,GOVT,RATEX,PX1,PX5,DUR,HOM,SHOM,CAR,INCOME,HOMEOWN,HOMEVAL,AGE,BIRTHY,WEST,NORTHEAST,SOUTH,SEX,MARRY,NUMKID,NUMADT,FAMSIZE,AFRICAN,HISPANIC,NATIVE,ASIAN,ECLGRD,VEHOWN,VEHNUM,GASPX1,GAS5,GAS1PX1,GAS1,ZLB,CPIDURABLES,mm,BUS12AG,PX1DISP,VXO,INFLVOLA,first,second,single,CARLOAN,HOMPX1Q1,HOMPX1Q2,HOMPX1,HOMPX5Q1,HOMPX5Q2,HOMPX5,pjob,pssa,pinc,pcry,PINC2,pstk,PINC,PJOB,INFLQRTL,PX1LAG,DPX1,DURLAG,DDUR,PX1BAR,PX1MEAN,PX1STD,GOOD,DURRN1,CARRN1,HOMRN1,INFLFORW,SPF,OUTSIDE,GOOD2,fitted,resids
240081,201301,20131,2013,170,,,61.209999,115.53,26.309999,3,0,0,3,5,5,-5,3,5,3,5,5,0,0,3,3,1,1,5,5,1,5,5,1,13,0,1,16,0,1,11,0,5,51,0,100000,1,5,5,5,4,3,3,1,3,300000,1,1,150000,1,66,1,1947,4,1,1,0,2,1,3,5,1,12,,,1,50,50,1,25,25,1,.14,1.58,7.9000001,231.2,-19.93,3.4100001,0,0,-1,-5,0,-1,0,-1,-1,0,0,1,5,5,1,1,1,-1,6.0696425,1,0,66,1947,0,0,1,0,1,0,2,2,0,0,0,0,0,,,1,50,1,25,1,-6.0300002,1,-17.57,3.8800001,13.3,.12,0,0,1,,3,,0,3,,0,10,10,20,3,20,10,20,10,3,,,,,,4.3400002,3.8800001,0,13,51,16,,2.0999999,1,0,4.3821273,.61787271
240083,201301,20131,2013,172,,,105.61,153.38,74.93,1,13,27,3,3,,0,5,5,3,1,5,0,0,3,3,5,2,98,96,1,98,96,1,12,0,5,61,57,5,61,0,1,12,0,17376,1,1,5,1,1,1,1,2,,,,5,,,57,4,1955,3,1,4,0,2,1,2,5,5,11,,,1,300,300,3,,0,1.25,.14,1.58,7.9000001,231.2,-19.93,3.4100001,1,0,0,0,-1,-1,0,1,-1,0,0,-1,,,1,-1,-1,1,4.319562,0,,57,1955,0,1,0,0,0,0,2,2,0,0,0,0,0,,,1,300,0,0,1,-3.04,1,-17.57,3.8800001,13.3,.12,0,0,1,,,,,,,,0,100,0,3,0,0,0,0,4,,,,,,4.3400002,3.8800001,0,12,12,61,,2.0999999,0,0,4.3113332,
240192,201301,20131,2013,416,,,76.010002,77.690002,74.93,5,99,0,3,1,5,5,8,5,3,5,2,0,0,3,5,3,1,4,4,5,98,-97,1,42,0,5,61,0,5,61,0,5,61,0,,2,,,,,,,1,1,,1,1,250000,2,22,6,1990,1,1,5,0,3,1,3,5,1,12,,,3,,0,3,,0,0,.14,1.58,7.9000001,231.2,-19.93,3.4100001,-1,0,1,5,,-1,0,-1,1,0,-1,0,4,,1,-1,-1,-1,,1,1,22,1990,1,0,0,0,0,0,3,3,0,0,0,0,0,,,0,0,0,0,1,-3.96,1,-17.57,3.8800001,13.3,.12,0,0,1,,3,,0,1,1,1,50,30,40,3,35,50,40,50,3,,,,,,4.3400002,3.8800001,0,42,61,61,,2.0999999,1,0,4.0360236,-.036023565
240210,201301,20131,2013,434,,,31.6,77.690002,2,5,51,54,5,5,5,-5,5,5,5,5,5,85,0,1,5,1,1,4,4,5,98,-97,1,12,0,1,16,12,5,52,0,5,52,0,130000,1,5,5,5,5,4,3,1,3,,1,1,70000,1,62,3,1950,2,1,3,0,1,1,3,5,1,12,,,1,150,150,1,50,50,1.25,.14,1.58,7.9000001,231.2,-19.93,3.4100001,-1,-1,-1,-5,-1,-1,-1,-1,-1,1,-1,1,4,,1,1,-1,-1,6.3320065,1,0,62,1950,0,0,0,0,0,0,1,1,0,0,0,0,0,,,1,150,1,50,1,-4.0700002,1,-17.57,3.8800001,13.3,.12,0,0,1,,3,,0,3,,0,0,50,20,5,20,10,20,0,3,,,,,,4.3400002,3.8800001,0,12,52,16,,2.0999999,1,0,4.3506632,-.3506633
240250,201301,20131,2013,1039,142,201207,135.22,153.38,123.55,1,27,0,3,3,,0,3,3,3,2,1,47,0,3,5,3,1,5,5,1,1,1,1,11,0,1,21,0,1,21,0,1,21,0,112500,1,5,5,5,4,4,3,1,3,2000000,1,1,10000,1,18,6,1994,1,1,5,1,3,1,2,5,5,11,,,1,30,30,1,7,7,0,.14,1.58,7.9000001,231.2,-19.93,3.4100001,1,0,0,0,0,0,0,1,1,0,-1,0,5,1,1,1,1,1,6.1874256,1,0,18,1994,1,0,0,0,0,1,3,4,0,0,0,0,0,,,1,30,1,7,1,-3.96,1,-17.57,3.8800001,13.3,.12,0,1,0,,3,,0,1,2,2,25,1,60,5,10,50,60,25,3,2,3,1,0,1.5,4.3400002,3.8800001,1,11,21,21,,2.0999999,1,0,4.0045595,.99544042
240154,201301,20131,2013,378,,,76.010002,77.690002,74.93,5,54,0,3,3,,0,5,5,3,1,5,56,60,3,5,3,1,1,1,1,1,1,1,12,16,1,12,16,5,86,0,5,61,54,67500,1,5,5,5,3,3,2,1,5,70000,1,1,200000,1,35,6,1977,4,1,1,2,2,1,6,1,1,17,,,1,150,150,1,13,13,1.5,.14,1.58,7.9000001,231.2,-19.93,3.4100001,-1,0,0,0,-1,-1,0,1,-1,0,-1,0,1,1,1,1,-1,-1,5.6766,1,-1,35,1977,0,0,1,0,1,2,2,4,0,0,0,0,1,,,1,150,1,13,1,-6.0300002,1,-17.57,3.8800001,13.3,.12,0,0,1,,3,,0,1,3,3,0,0,20,3,0,75,20,0,1,,,,,,4.3400002,3.8800001,0,12,61,12,,2.0999999,1,0,4.1382813,-3.1382816
240382,201301,20131,2013,1171,217,201207,31.6,77.690002,2,5,54,53,5,3,,0,5,5,5,5,5,0,0,5,5,5,2,1,1,1,2,2,1,12,0,1,12,62,5,61,59,1,91,21,,2,,,,,,,1,3,140000,1,5,,,73,6,1939,4,1,1,0,2,1,3,5,1,12,,,1,170,170,1,30,30,.75,.14,1.58,7.9000001,231.2,-19.93,3.4100001,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,-1,1,,1,0,73,1939,0,0,1,0,1,0,2,2,0,0,0,0,0,,,1,170,1,30,1,-6.0300002,1,-17.57,3.8800001,13.3,.12,0,1,0,,3,,0,3,,0,0,20,20,3,0,30,20,0,1,1,0,0,1,0,4.3400002,3.8800001,1,12,91,12,,2.0999999,1,0,4.4371891,-3.4371893
240101,201301,20131,2013,190,,,135.22,115.53,147.86,3,50,12,1,1,1,1,3,1,1,1,1,49,23,5,3,3,1,1,1,1,4,4,1,12,0,1,12,0,5,52,86,1,30,16,150000,1,5,5,5,5,4,3,1,3,65000,1,1,100000,1,39,9,1973,2,1,1,0,3,1,4,5,1,15,,,3,,0,3,,0,.75,.14,1.58,7.9000001,231.2,-19.93,3.4100001,0,1,1,1,0,1,1,1,1,-1,0,0,1,4,1,1,-1,1,6.4751077,1,0,39,1973,0,0,0,0,1,0,3,3,0,0,0,0,0,,,0,0,0,0,1,-4.0700002,1,-17.57,3.8800001,13.3,.12,0,0,1,,3,,0,1,2,2,0,0,50,5,80,100,50,0,1,,,,,,4.3400002,3.8800001,0,12,30,12,,2.0999999,1,0,4.1697454,-3.1697454
240345,201301,20131,2013,1134,63,201207,76.010002,115.53,50.619999,1,99,0,3,3,,0,3,5,3,9,5,0,0,3,3,3,3,,0,1,5,5,8,,,1,16,0,8,,,1,98,0,125000,1,5,5,5,5,4,3,1,3,200000,1,1,600000,1,51,9,1961,2,1,1,0,3,1,3,5,1,12,,,1,20,20,3,,0,.5,.14,1.58,7.9000001,231.2,-19.93,3.4100001,1,0,0,0,0,-1,0,,-1,0,0,0,0,5,,1,,1,6.2927861,1,0,51,1961,0,0,0,0,1,0,3,3,0,0,0,0,0,,,1,20,0,0,1,-4.0700002,1,-17.57,3.8800001,13.3,.12,0,1,0,,3,,0,1,2,2,10,20,0,3,60,50,0,10,1,0,0,1,,0,4.3400002,3.8800001,1,,,16,,2.0999999,1,0,4.2641373,-4.2641373
239998,201301,20131,2013,87,,,105.61,115.53,99.239998,3,20,0,8,3,,0,5,1,3,3,1,63,0,3,3,1,1,5,5,1,3,3,1,11,0,1,12,16,5,52,0,1,30,16,26500,1,5,5,1,1,1,1,1,3,130000,1,1,200000,1,67,7,1945,1,1,5,0,1,1,4,1,1,14,,,1,100,100,3,,0,.75,.14,1.58,7.9000001,231.2,-19.93,3.4100001,0,,0,0,-1,1,0,0,1,0,0,1,5,3,1,1,-1,1,4.7416167,1,0,67,1945,1,0,0,0,0,0,1,1,0,0,0,0,1,,,1,100,0,0,1,-3.96,1,-17.57,3.8800001,13.3,.12,0,0,1,,3,,0,1,3,3,0,75,10,1,50,50,10,0,3,,,,,,4.3400002,3.8800001,0,11,30,12,,2.0999999,1,0,4.3899932,.61000675
