Data,PIB - preços de mercado - índice encadeado (média 1995 = 100) - - - Instituto Brasileiro de Geografia e Estatística- Sistema de Contas Nacionais Trimestrais (IBGE/SCN Trimestral) - SCN104_PIBPM104,
1996 T1,96.8396836197719,
1996 T2,100.119467514028,
1996 T3,107.561773309359,
1996 T4,104.314529544694,
1997 T1,100.132786447406,
1997 T2,104.879149330001,
1997 T3,109.488505220113,
1997 T4,108.214346986587,
1998 T1,101.14169920072,
1998 T2,106.462460870289,
1998 T3,109.877846013711,
1998 T4,106.661971728804,
1999 T1,101.918131048489,
1999 T2,106.035824103128,
1999 T3,109.2007423431,
1999 T4,108.974009327805,
2000 T1,106.403247281882,
2000 T2,110.254362002232,
2000 T3,114.185307545381,
2000 T4,113.984102213273,
2001 T1,110.100856213943,
2001 T2,112.818939536169,
2001 T3,114.71192532909,
2001 T4,113.377932707301,
2002 T1,110.625948256604,
2002 T2,115.411747258377,
2002 T3,119.500814406253,
2002 T4,119.242551614289,
2003 T1,113.576373705926,
2003 T2,116.313392744013,
2003 T3,120.249105456057,
2003 T4,119.944546760319,
2004 T1,117.980959022535,
2004 T2,123.65074002038,
2004 T3,128.136011631165,
2004 T4,127.392346671157,
2005 T1,122.917661516166,
2005 T2,129.184075963889,
2005 T3,130.846053486763,
2005 T4,130.131984582189,
2006 T1,128.177427153792,
2006 T2,132.133732587314,
2006 T3,136.724689333568,
2006 T4,136.372089323458,
2007 T1,134.835848178508,
2007 T2,140.771654454676,
2007 T3,144.750772917146,
2007 T4,145.426834516951,
2008 T1,143.138236289674,
2008 T2,149.691120567159,
2008 T3,154.855551244759,
2008 T4,146.922401283783,
2009 T1,139.66562650473,
2009 T2,146.393448650566,
2009 T3,153.055122863889,
2009 T4,154.745024020464,
2010 T1,152.527556217371,
2010 T2,158.862852569329,
2010 T3,163.626884533656,
2010 T4,163.548992069005,
2011 T1,160.451574836043,
2011 T2,166.330231334538,
2011 T3,169.414931825911,
2011 T4,167.748873216951,
2012 T1,163.190666057173,
2012 T2,167.970916340014,
2012 T3,173.625612304292,
2012 T4,171.913980148686,
2013 T1,167.63187123664,
2013 T2,174.726991480995,
2013 T3,178.415833466166,
2013 T4,176.260148978373,
2014 T1,173.444934700272,
2014 T2,173.964130763264,
2014 T3,177.276255033613,
2014 T4,175.862271778924,
2015 T1,170.647336182297,
2015 T2,169.206285603728,
2015 T3,169.718455528099,
2015 T4,166.135754881169,
2016 T1,161.835532803574,
2016 T2,163.723548538831,
2016 T3,165.556333357044,
2016 T4,162.456790383624,
2017 T1,162.46603614543,
2017 T2,165.163361188113,
2017 T3,168.262738335722,
2017 T4,166.325973859796,
2018 T1,164.829450750555,
2018 T2,166.902537629427,
2018 T3,170.849080492244,
2018 T4,168.359936507323,
2019 T1,165.80796544739,
2019 T2,168.698300121528,
2019 T3,172.892110620299,
2019 T4,171.16844785992,
2020 T1,165.391467106277,
